1,HAD Wool,460,HA460-0006,HAD Merino / one size,Sky,100%Merino,34,NOS,8.85 €,8.37 €,19.95 €,0, €  -   ,,
2,HAD Wool,460,HA460-0015,HAD Merino / one size,Berry,100%Merino,34,NOS,8.85 €,8.37 €,19.95 €,0, €  -   ,,
3,HAD Wool,460,HA460-0018,HAD Merino / one size,Grey,100%Merino,34,NOS,8.85 €,8.37 €,19.95 €,0, €  -   ,,
4,HAD Wool,460,HA460-0442,HAD Merino / one size,India Paisley black ,100%Merino,34,NOS,8.85 €,8.37 €,19.95 €,0, €  -   ,,
5,HAD Wool,460,HA460-0443,HAD Merino / one size,Woodcut Grey,100%Merino,34,NOS,8.85 €,8.37 €,19.95 €,0, €  -   ,,
6,HAD Wool,460,HA460-0445,HAD Merino / one size,India Paisley Berry,100%Merino,34,NOS,8.85 €,8.37 €,19.95 €,32, €  267.84 ,,
7,HAD Neckwarmer,620,HA620-0XXX,HAD Neckwarmer Fleece / one size,Any available style,100% Polyester,48,A/W,7.55 €,5.22 €,16.95 €,8, €  41.76 ,,
8,HAD Neckwarmer,620,HA620-0XXX,HAD Neckwarmer Fleece / one size,Any available style,100% Polyester,48,A/W,7.55 €,5.22 €,16.95 €,8, €  41.76 ,,
9,Junior,110,HA110-0285,HAD Junior / one size,Go Hard,100%Polyester,53,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
10,Junior,110,HA110-0390,HAD Junior / one size,HAD Shards ,100%Polyester,53,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
11,HAD Neckwarmer,621,HA621-0224,HAD Neckwarmer Fleece Kids / one size,Kindazimma - Fleece: Darkblue ,100% Polyester,58,A/W,7.55 €,5.22 €,16.95 €,8, €  41.76 ,,
